time,S_I,S_S,X_I,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2,X_INORG
0.000000,0.000000,-8216.160156,0.000000,-3901.138428,7525.327148,60.536106,128.355194,0.000000,344.733765,-767.611877,-206.233307,-30.974136,-0.079453,0.000000,0.000000
0.000250,0.000000,-8247.779297,0.000000,-3929.287842,7564.924316,60.483677,128.449097,0.000000,324.144562,-780.884277,-194.929047,-32.203506,-0.078931,20.380219,0.000000
0.000501,0.000000,-8228.652344,0.000000,-3948.599121,7564.599121,60.430344,128.543213,0.000000,309.656311,-790.177368,-184.427307,-33.172409,-0.078560,34.655693,0.000000
0.000751,0.000000,-8175.940918,0.000000,-3962.524170,7538.163574,60.376175,128.637192,0.000000,298.899475,-796.715332,-174.589661,-33.983475,-0.078258,45.196289,0.000000
0.001001,0.000000,-8098.577637,0.000000,-3972.871582,7492.817383,60.321228,128.730621,0.000000,290.627441,-801.149170,-165.330551,-34.690201,-0.077984,53.248825,0.000000
0.001251,0.000000,-8001.711914,0.000000,-3980.696289,7432.717285,60.265480,128.823349,0.000000,284.114258,-803.863281,-156.591843,-35.324081,-0.077713,59.539059,0.000000
0.001502,0.000000,-7888.524414,0.000000,-3986.664795,7360.441406,60.209175,128.915436,0.000000,278.907013,-805.105225,-148.329041,-35.904800,-0.077429,64.521210,0.000000
0.001752,0.000000,-7761.024414,0.000000,-3991.203125,7277.623535,60.152180,129.006363,0.000000,274.704926,-805.037537,-140.506348,-36.445312,-0.077124,68.495239,0.000000
0.002002,0.000000,-7620.649902,0.000000,-3994.625488,7185.435547,60.094566,129.096451,0.000000,271.300812,-803.781250,-133.095245,-36.954346,-0.076792,71.668686,0.000000
0.002252,0.000000,-7468.344238,0.000000,-3997.134277,7084.648438,60.036404,129.185196,0.000000,268.547272,-801.423767,-126.068207,-37.438507,-0.076427,74.189255,0.000000
