time,S_I,S_S,X_I,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2,X_INORG
0.000000,20.200001,59.799999,58.799999,260.100006,2552.000000,148.000000,449.000000,2.000000,0.000000,23.000000,1.800000,7.800000,0.007000,0.000000,35.000000
0.000250,20.200001,57.738651,58.800030,259.120117,2553.889404,148.015152,449.032135,2.000000,0.083528,22.806154,1.749823,7.792092,0.006980,0.002715,35.000000
0.000501,20.200001,55.676132,58.800030,258.134094,2555.783203,148.030273,449.064270,2.000000,0.162737,22.609501,1.702370,7.783902,0.006960,0.009698,35.000000
0.000751,20.200001,53.622940,58.800014,257.144104,2557.674561,148.045395,449.096466,2.000000,0.238820,22.410881,1.657462,7.775500,0.006941,0.019752,35.000000
0.001001,20.200001,51.586147,58.799999,256.151154,2559.554443,148.060501,449.128662,2.000000,0.312542,22.210917,1.614941,7.766903,0.006921,0.032112,35.000000
0.001251,20.200001,49.571220,58.800064,255.155823,2561.420166,148.075439,449.160889,2.000000,0.384425,22.010046,1.574672,7.758137,0.006902,0.046256,35.000000
0.001502,20.200001,47.582642,58.800003,254.158966,2563.273193,148.090652,449.193146,2.000000,0.454850,21.808701,1.536527,7.749228,0.006882,0.061803,35.000000
0.001752,20.200001,45.624165,58.800053,253.160522,2565.102783,148.105743,449.225220,2.000000,0.524102,21.607189,1.500394,7.740174,0.006863,0.078465,35.000000
0.002002,20.200001,43.699318,58.799999,252.161469,2566.915283,148.120773,449.257721,2.000000,0.592406,21.405878,1.466169,7.730990,0.006844,0.096018,35.000000
0.002252,20.200001,41.811062,58.800014,251.161499,2568.700928,148.135757,449.290009,2.000000,0.659942,21.205008,1.433749,7.721682,0.006825,0.114281,35.000000
0.002503,20.200001,39.962296,58.800068,250.160980,2570.460693,148.150589,449.322296,2.000000,0.726859,21.004858,1.403041,7.712255,0.006806,0.133105,35.000000
0.002753,20.200001,38.155869,58.799999,249.160095,2572.191650,148.165817,449.354736,2.000000,0.793282,20.805672,1.373959,7.702713,0.006787,0.152364,35.000000
